Freq (GHz)	del S21 (fW)
3.247033e+00	8.523260e+00
3.247345e+00	8.535844e+00
3.247658e+00	8.624125e+00
3.247970e+00	8.742834e+00
3.248282e+00	8.632551e+00
3.248595e+00	8.623221e+00
3.248907e+00	8.719432e+00
3.249219e+00	8.935416e+00
3.249532e+00	8.884921e+00
3.249844e+00	8.932238e+00
3.250156e+00	8.926209e+00
3.250468e+00	9.067242e+00
3.250781e+00	9.012507e+00
3.251093e+00	9.075041e+00
3.251405e+00	9.136595e+00
3.251718e+00	9.090702e+00
3.252030e+00	9.139624e+00
3.252342e+00	9.081493e+00
3.252655e+00	9.076230e+00
3.252967e+00	9.074049e+00
3.253279e+00	9.251070e+00
3.253592e+00	9.192372e+00
3.253904e+00	9.096088e+00
3.254216e+00	9.084871e+00
3.254528e+00	9.058010e+00
3.254841e+00	9.100439e+00
3.255153e+00	8.910702e+00
3.255465e+00	9.016339e+00
3.255778e+00	8.883423e+00
3.256090e+00	8.932786e+00
3.256402e+00	9.129304e+00
3.256715e+00	9.016194e+00
3.257027e+00	9.004840e+00
3.257339e+00	9.079002e+00
3.257651e+00	8.958128e+00
3.257964e+00	9.072465e+00
3.258276e+00	8.964373e+00
3.258588e+00	8.971717e+00
3.258901e+00	8.755274e+00
3.259213e+00	9.100422e+00
3.259525e+00	9.146676e+00
3.259838e+00	9.153732e+00
3.260150e+00	9.243537e+00
3.260462e+00	9.177627e+00
3.260775e+00	9.302978e+00
3.261087e+00	9.118570e+00
3.261399e+00	9.137318e+00
3.261711e+00	9.347166e+00
3.262024e+00	9.313607e+00
3.262336e+00	9.322204e+00
3.262648e+00	9.430519e+00
3.262961e+00	9.405728e+00
3.263273e+00	9.445529e+00
3.263585e+00	9.363136e+00
3.263898e+00	9.445605e+00
3.264210e+00	9.436361e+00
3.264522e+00	9.280212e+00
3.264834e+00	9.356981e+00
3.265147e+00	9.476984e+00
3.265459e+00	9.506394e+00
3.265771e+00	9.454182e+00
3.266084e+00	9.378231e+00
3.266396e+00	9.365204e+00
3.266708e+00	9.350851e+00
3.267021e+00	9.552098e+00
3.267333e+00	9.414322e+00
3.267645e+00	9.477272e+00
3.267958e+00	9.470651e+00
3.268270e+00	9.516378e+00
3.268582e+00	9.495323e+00
3.268894e+00	9.522431e+00
3.269207e+00	9.609380e+00
3.269519e+00	9.524098e+00
3.269831e+00	9.544123e+00
3.270144e+00	9.458000e+00
3.270456e+00	9.628931e+00
3.270768e+00	9.602220e+00
3.271081e+00	9.726039e+00
